BUILDING_USAGE,FISCAL_YEAR,ENERGY_CATEGORY_DIV,ENERGY_CATEGORY_NAME,ENERGY_SUB_DIV,ENERGY_SUB_NAME,VALUE,CREATION_DATETIME,CREATOR
10,2023,C01,空調,,,"1.0000",,
10,2023,C02,換気,,,"1.0000",,
10,2023,C03,他,,,"1.0000",,
10,2023,C04,安全率,,,"1.0000",,
10,2023,C05,範囲補正係数,,,"1.0000",,
11,2023,A01,熱源,A0101,熱源本体,"0.29000",,
11,2023,A01,熱源,A0102,熱源補機,"0.05100",,
11,2023,A02,熱搬送,A0201,水搬送,"0.03500",,
11,2023,A02,熱搬送,A0202,空気搬送,"0.13300",,
11,2023,A03,給湯,A0301,給湯,"0.00500",,
11,2023,A04,照明・コンセント,A0401,照明,"0.22700",,
11,2023,A04,照明・コンセント,A0402,コンセント,"0.20700",,
11,2023,A05,動力,A0501,換気,"0.02200",,
11,2023,A05,動力,A0502,給排水,"0.00300",,
11,2023,A05,動力,A0503,昇降機,"0.00900",,
11,2023,A06,その他,A0601,その他,"0.01800",,
11,2023,A07,熱負荷低減,A0701,外皮,"0.01800",,
11,2023,A07,熱負荷低減,A0702,外気,"0.15200",,
11,2023,A07,熱負荷低減,A0703,熱負荷,"0.50800",,
11,2023,B01,一次エネ消費原単位,,,"3181.0000",,
11,2023,C01,空調,,,"1.0000",,
11,2023,C02,換気,,,"1.0000",,
11,2023,C03,他,,,"1.0000",,
11,2023,C04,安全率,,,"1.0000",,
11,2023,C05,範囲補正係数,,,"1.0000",,
12,2023,A01,熱源,A0101,熱源本体,"0.08500",,
12,2023,A01,熱源,A0102,熱源補機,"0.01500",,
12,2023,A02,熱搬送,A0201,水搬送,"0.01400",,
12,2023,A02,熱搬送,A0202,空気搬送,"0.05300",,
12,2023,A03,給湯,A0301,給湯,"0.00200",,
12,2023,A04,照明・コンセント,A0401,照明,"0.04900",,
12,2023,A04,照明・コンセント,A0402,コンセント,"0.04500",,
12,2023,A05,動力,A0501,換気,"0.02100",,
12,2023,A05,動力,A0502,給排水,"0.00200",,
12,2023,A05,動力,A0503,昇降機,"0.00900",,
12,2023,A06,その他,A0601,その他,"0.70500",,
12,2023,A07,熱負荷低減,A0701,外皮,"0.01000",,
12,2023,A07,熱負荷低減,A0702,外気,"0.05000",,
12,2023,A07,熱負荷低減,A0703,熱負荷,"0.16700",,
12,2023,B01,一次エネ消費原単位,,,"0.0000",,
12,2023,C01,空調,,,"1.0000",,
12,2023,C02,換気,,,"1.0000",,
12,2023,C03,他,,,"1.0000",,
12,2023,C04,安全率,,,"1.0000",,
12,2023,C05,範囲補正係数,,,"1.0000",,
13,2023,A01,熱源,A0101,熱源本体,"0.00000",,
13,2023,A01,熱源,A0102,熱源補機,"0.00000",,
13,2023,A02,熱搬送,A0201,水搬送,"0.00000",,
13,2023,A02,熱搬送,A0202,空気搬送,"0.00000",,
13,2023,A03,給湯,A0301,給湯,"0.00000",,
13,2023,A04,照明・コンセント,A0401,照明,"0.33000",,
13,2023,A04,照明・コンセント,A0402,コンセント,"0.00000",,
13,2023,A05,動力,A0501,換気,"0.67000",,
13,2023,A05,動力,A0502,給排水,"0.00000",,
13,2023,A05,動力,A0503,昇降機,"0.00000",,
13,2023,A06,その他,A0601,その他,"0.00000",,
13,2023,A07,熱負荷低減,A0701,外皮,"0.0000",,
13,2023,A07,熱負荷低減,A0702,外気,"0.0000",,
13,2023,A07,熱負荷低減,A0703,熱負荷,"0.0000",,
13,2023,B01,一次エネ消費原単位,,,"0.0000",,
13,2023,C01,空調,,,"1.0000",,
13,2023,C02,換気,,,"1.0000",,
13,2023,C03,他,,,"1.0000",,
13,2023,C04,安全率,,,"1.0000",,
13,2023,C05,範囲補正係数,,,"1.0000",,
14,2023,A01,熱源,A0101,熱源本体,"0.76000",,
14,2023,A01,熱源,A0102,熱源補機,"0.09500",,
14,2023,A02,熱搬送,A0201,水搬送,"0.09500",,
14,2023,A02,熱搬送,A0202,空気搬送,"0.01000",,
14,2023,A03,給湯,A0301,給湯,"0.00000",,
14,2023,A04,照明・コンセント,A0401,照明,"0.01000",,
14,2023,A04,照明・コンセント,A0402,コンセント,"0.01000",,
14,2023,A05,動力,A0501,換気,"0.01000",,
14,2023,A05,動力,A0502,給排水,"0.00000",,
14,2023,A05,動力,A0503,昇降機,"0.00000",,
14,2023,A06,その他,A0601,その他,"0.01000",,
14,2023,A07,熱負荷低減,A0701,外皮,"0.0000",,
14,2023,A07,熱負荷低減,A0702,外気,"0.0000",,
14,2023,A07,熱負荷低減,A0703,熱負荷,"0.0100",,
14,2023,B01,一次エネ消費原単位,,,"0.0000",,
14,2023,C01,空調,,,"0.8000",,
14,2023,C02,換気,,,"1.0000",,
14,2023,C03,他,,,"1.0000",,
14,2023,C04,安全率,,,"1.0000",,
14,2023,C05,範囲補正係数,,,"1.0000",,
